Nome;Pergunta;Resposta
Femostoni;Como usar Femostoni?;Como usar Femoston Conti pela primeira vez:
Ultraproct pomada;Qual é a finalidade do medicamento Ultraproct pomada?;Ultraproct é indicado para o tratamento de problemas localizados na região anal, como fissuras anais, hemorróidas, eczema anal e proctite, em adultos.
Pyloripac Retrat;Qual é o propósito principal de Pyloripac Retrat na área da saúde?;Este medicamento é indicado para o retratamento da eliminação da bactéria Helicobacter pylori associada a úlceras gástricas ou duodenais ativas ou cicatrizadas.
Zina;Quais os males que Zina pode me causar?;As reações mais frequentemente descritas são secura da boca, dor de cabeça, cansaço e sonolência.
Snif 3%;Quando não devo usar Snif 3%?;Este spray nasal é contraindicado em pacientes com história de hipersensibilidade ao cloreto de sódio ou qualquer um dos componentes do produto.
Histadin;Quais são as instruções para o uso correto de Histadin?;Adultos e crianças acima de 12 anos ou com peso corporal acima de 30 kg: 1 comprimido de Histadin (10 mg) uma vez por dia.
Levordiol;Quais são os potenciais efeitos indesejados de Levordiol?;Entre os efeitos colaterais possíveis de associações progestógeno-estrogênicas podem ser citados dor de cabeça, náuseas, vômitos, discretas alterações de peso corpóreo, tensão nos seios, modificações do fluxo menstrual, alterações da libido, humor deprimido, manchas na pele, sangramentos intermenstruais.
Nasonex spray;Quais são os possíveis efeitos colaterais associados a Nasonex spray?;O uso deste remédio pode provocar alguns efeitos secundários como dor de cabeça, sangramento, queimação ou irritação no nariz e dor de garganta.
Mirtax;Em que circunstâncias eu não deveria utilizar Mirtax?;Você não deve utilizar Mirtax nos seguintes casos:
Sporostatin 500 mg;Quando não devo usar Sporostatin 500 mg?;O Sporostatin não é indicado para infecções leves que respondem a agentes tópicos isoladamente e é contra-indicado para pessoas com porfiria, insuficiência hepato-celular ou com histórico de hipersensibilidade ao produto.
Dimorf;Para que serve Dimorf?;O Dimorf está indicado para o alivio de dor intensa aguda e crônica.
Diprospan;Quais são os possíveis efeitos colaterais associados a Diprospan?;As reações adversas mais comuns são insônia, dificuldade em engolir, aumento do apetite, aumento da incidência de infeções, osteoporosa e sangramento gastrointestinal.
Norepinefrina;Quais são os riscos para a saúde relacionados ao uso de Norepinefrina?;Os efeitos adversos mais comuns que podem ocorrer com o uso deste medicamento são lesões que fazem parar ou diminuir a circulação do sangue que irriga o órgão, deficiência de oxigênio no sangue, células ou tecidos, diminuição do ritmo cardíaco, ansiedade, dor de cabeça, dificuldade em respirar e morte tecidual por extravasamento no local da injecção.
Lyxumia;Existem situações em que o uso de Lyxumia não é recomendado?;Lyxumia está contraindicado para pacientes com alergia ao Lixisenatide ou a outros componentes da fórmula.
Terra;Quais são os processos biológicos desencadeados por Terra?;Terra-Cortril pomada possui ação anti-infecciosa e anti-inflamatória.
Esperson N;Como usar Esperson N?;O Esperson N pomada deve-se aplicar 1 a 2 vezes ao dia e em casos mais graves, a critério médico, 3 vezes ao dia. Aplicar pequena quantidade e espalhar pela pele.
Arpadol;Quais são os riscos para a saúde relacionados ao uso de Arpadol?;Riscos a saúde e efeitos colaterais nas doses terapêuticas não têm sido relatados com freqüência.Efeitos adversos como diarréia, dores abdominais, vômito, flatulência, perda do paladar, dor de cabeça frontal, dispepsia e zumbidos foram relatados em poucos casos.Um estudo demonstrou que o efeito adverso mais comum foi a diarréia, que diminui espontaneamente após o 2-3º dia de tratamento.
Paco;Como funciona Paco?;Paco é um medicamento que combina codeína e paracetamol, dois analgésicos que proporcionam o alivio de dores intensas.
Cedur;O que Cedur pretende tratar?;Cedur ou Cedur​ Retard é indicado para hiperlipidemias primárias e secundárias, no tratamento do colesterol e triglicerídeos elevados, em adultos.
Nimbium;Quais são as instruções para o uso correto de Nimbium?;Nimbium é um medicamento para uso hospitalar, que apenas deve ser administrado por um médico ou anestesista.
Alivium;Como usar Alivium?;Alivium gotas 100 mg
Pentasa 500;Quais são os potenciais efeitos indesejados de Pentasa 500?;As reações adversas mais comuns que podem ocorrer com o uso deste medicamento são dor de cabeça, diarreia, dores abdominais, náusea, vômitos e lesões na pele.
Thioctacid 600 HR;Há alguma condição específica em que o uso de Thioctacid 600 HR é desaconselhado?;O Thioctacid 600 HR é contraindicado em pessoas com hipersenbilidade conhecida ao ácido tióctico ou a qualquer dos componentes da fórmula.
Signifor;Existem reações adversas conhecidas de Signifor?;Os efeitos colaterais mais comuns são diarréia, náusea e aumento da glicose no sangue.
Quadriderm;Qual é a finalidade do medicamento Quadriderm?;Quadriderm creme ou pomada é indicado para o alívio das manifestações inflamatórias das dermatoses (doenças da pele) responsivas aos corticosteróides, quando complicadas por infecção secundária causada por microorganismos sensíveis aos componentes de sua formulação ou quando há suspeita da possibilidade de tal infecção.
Hemovirtus;Há alguma condição específica em que o uso de Hemovirtus é desaconselhado?;Hemovirtus está contraindicado para pacientes com glaucoma, perda dos movimentos do intestino, estenose pilórica, aumento da próstata, problemas cardíacos, pacientes com Doença de Chagas e para pacientes com alergia a alcaloides, a barbitúricos ou a algum dos componentes da fórmula.
Pontin 500 mg;Qual é o propósito principal de Pontin 500 mg na área da saúde?;Pontin 500 mg é indicado para o alívio dos sintomas da artrite reumatóide, osteoartrite e para o alívio da dor muscular, traumática, dentária, de cabeça e pós-operatória e pós-parto. Além disso, Pontin 500 mg é também indicado no tratamento da dismenorréia primária, menorragia por causas disfuncionais ou por uso de DIU e síndrome pré-menstrual, em adultos.
Dermacerium creme;Em que situações médicas é recomendado o uso de Dermacerium creme?;O Dermacerium é um creme antimicrobiano, cicatrizante tópico, indicado para a prevenção e tratamento de infecções em queimaduras e feridas de difícil cicatrização, como úlceras crônicas de membros inferiores e pé diabético.
Proepa;Quais são as instruções para o uso correto de Proepa?;3 cápsulas de 1000 mg ou 6 de 500 mg/dia na 1ª indicação e 10 cápsulas de 1000 mg/dia na 2ª indicação.
Emet;Há alguma condição específica em que o uso de Emet é desaconselhado?;Você não deve tomar Emet (dimenidrinato + cloridrato de piridoxina) se tiver alergia ao dimenidrinato, à piridoxina ou aos outros componentes da fórmula. Pacientes com porfiria (distúrbio caracterizado por quantidades excessivas dos pigmentos porfirinas no sangue e na urina) não devem usar Emet (dimenidrinato + cloridrato de piridoxina). Em pessoas com doenças do fígado, pode haver necessidade de redução da dose do medicamento. Pacientes asmáticos, com glaucoma (aumento da pressão intraocular), enfisema pulmonar (alteração das estruturas dos pulmões), doença pulmonar crônica, dificuldades em respirar (dispnéia) e dificuldades para urinar (disúria) devem tomar esta medicação com cuidado, pois o dimenidrinato pode piorar os sintomas destas doenças. Pertencendo ao grupo dos anti-histamínicos, o medicamento pode ocasionar, tanto em adultos como em crianças, uma diminuição na atividade mental e, particularmente em crianças pequenas, pode causar excitação.
Adesivo Dorflex Icy Hot;Quais são as instruções para o uso correto de Adesivo Dorflex Icy Hot?;Dorflex Icy Hot deve ser aplicado sobre a região a tratar do seguinte modo:
Janumet comprimidos;Quando não devo usar Janumet comprimidos?;Não é recomendado na gravidez nem durante a amamentação e, por isso, o endocrinologista deve ser consultado para avaliar a utilização do medicamento durante estas fases. Não se deve usar o remédio com menos de 18 anos ou alergia a qualquer componente da fórmula.
Kava Kava;Em que circunstâncias eu não deveria utilizar Kava Kava?;Kava Kava está contraindicado para mulheres grávidas ou amamentando e crianças, pacientes com doença de Parkinson, psicose ou depressão e para pacientes com alergia ao Extrato seco de Piper methysticum G. Forst, Piperaceae ou a algum dos componentes da fórmula.
Pondera;Quais os males que Pondera pode me causar?;Náusea, sonolência, sudorese, tremor, astenia, boca seca, insônia e disfunção sexual (incluindo impotência e distúrbios de ejaculação), vertigem, vômito, diarréia, inquietação, alucinações e hipomania, erupção cutânea, hipotensão postural, movimentos distônicos da face, língua e olhos, boca seca, constipação e sonolência, agitação, tremor, sudorese e confusão foram relatados após descontinuação abrupta do tratamento.
Floriny;Quais os males que Floriny pode me causar?;Este medicamento é bem tolerado.  Reação rara (ocorre entre 0,01% e 0,1% dos pacientes que utilizam este medicamento): sonolência, dor de cabeça, dor de estômago, fadiga, diarréia, náusea, zumbido, coceira, vermelhidão na pele. Informe ao seu médico, cirurgião-dentista ou farmacêutico o aparecimento de reações indesejáveis pelo uso do medicamento. Informe também à empresa através do seu serviço de atendimento.
Keforal 500 mg;Quais são os processos biológicos desencadeados por Keforal 500 mg?;Este medicamento é um antibacteriano da classe das cefalosporinas.
Aristab;Como usar Aristab?;As doses recomendadas de Aristab devem apenas ser indicadas pelo médico, pois a dose recomendada depende do tipo de problema a tratar, da idade, sexo, raça e resposta individual de cada paciente ao tratamento.
Norepinefrina;Para que serve Norepinefrina?;O Hemitartarato de norepinefrina é usado no controle da pressão sanguínea em certos estados hipotensivos agudos, caracterizados por pressão arterial demasiado baixa, como em feocromocitomectomia, simpatectomia, poliomielite, infarto do miocárdio, septicemia, hipotensão causada por transfusão sanguínea e reações a medicamentos.
Xarelto;Quais são os riscos para a saúde relacionados ao uso de Xarelto?;Alguns dos efeitos colaterais de Xarelto podem incluir sangramento, anemia, fraqueza anormal, fadiga, palidez, tontura, dor de cabeça ou inchaço sem explicação, dificuldade de respiração, dor no peito.
Novalgina Infantil;Quando não devo usar Novalgina Infantil?;Novalgina Infantil está contraindicada para pessoas com doenças metabólicas como porfiria ou deficiência congênita da glicose-6-fosfato-desidrogenase, função da medula óssea insuficiente, doenças do sistema hematopoiético, historial de broncoespasmo ou de reações de alergia a analgésicos como salicilatos, paracetamol, diclofenaco, ibuprofeno, indometacina ou naproxeno, alergia à dipirona sódica, a outras pirazolonas como fenazona e propifenazona, a pirazolidinas como fenilbutazona e oxifembutazona ou a outros componentes da fórmula.
Budecort Aqua​;Quais são os princípios do funcionamento de Budecort Aqua​?;Budecort Aqua é um medicamento que tem na sua composição Budesonida, um glicocorticosteroide com grande efeito anti-inflamatório local. Assim, Budecort Aqua eduz e previne a inflamação e o inchaço da mucosa do nariz causados por alergias.
Zovirax pomada oftálmica;Há alguma condição específica em que o uso de Zovirax pomada oftálmica é desaconselhado?;Não deve ser utilizado durante a gravidez ou amamentação sem orientação do médico ou por pessoas com alergia a qualquer componente da fórmula.
Cloridrato de etilefrina;Há alguma condição específica em que o uso de Cloridrato de etilefrina é desaconselhado?;Cloridrato de etilefrina está contraindicado para mulheres nos 3 primeiros meses de gravidez ou amamentando, para pacientes com pressão instável que aumenta ao levantar-se, pressão alta, problemas no funcionamento da tiroide ou câncer que aumenta a pressão arterial, pacientes com aumento da pressão dentro do olho, aumento ou câncer na próstata com dificuldade para urinar, pacientes com doença cardíaca que provoca problemas circulatórios, estreitamento de artérias centrais ou de válvulas cardíacas e para pacientes com alergia à etilefrina ou a algum dos componentes da fórmula.
Curatec Hidrogel;Quais são os potenciais efeitos indesejados de Curatec Hidrogel?;A bula não refere efeitos colaterais causados por Curatec Hidrogel.
Celebra 100 e 200mg;De que maneira Celebra 100 e 200mg deve ser administrado?;A dose varia de acordo com o problema a tratar:
Mirtax;Qual é o propósito principal de Mirtax na área da saúde?;Mirtax é destinado ao tratamento de espasmos musculares associados com dor aguda e de etiologia musculoesquelética, como nas lombalgias, torcicolos, fibromialgia, periartrite escapulo umeral, cervicobraquialgias. Além disso, é indicado como coadjuvante de outras medidas para o alívio dos sintomas, tais como fisioterapia e repouso.
Dinill;O que Dinill pretende tratar?;O Dinill é um medicamento desinfetante, indicado para tratar a irritação nos olhos causada pelo pó, vento ou corpo estranho e na na sua limpeza após um banho de mar ou de piscina.
Aerius;Quais são os processos biológicos desencadeados por Aerius?;Aerius é um medicamento que tem na sua composição Desloratadina, um composto anti-histamínico que ajuda não só a controlar a reação alérgica, como também os seus sintomas.
Lacto Purga;Qual é o propósito principal de Lacto Purga na área da saúde?;Lacto Purga é indicado nos casos de constipação intestinal. No preparo para procedimentos diagnósticos, no pré e pós-operatório e em condições que exigem uma evacuação facilitada.
Sustagen;Em que situações médicas é recomendado o uso de Sustagen?;Sustagen é um suplemento de vitaminas e minerais, indicado para combater as carências nutricionais, em adultos.
Hioscina;Qual é a finalidade do medicamento Hioscina?;Hioscina é indicada para o tratamento da cólicas no estômago, no intestino, nos órgãos sexuais e urinários e espasmos das vias biliares, em adultos e crianças com mais de 6 anos de idade.
Cicladol;Qual é o mecanismo de ação de Cicladol?;Apresenta rápida ação analgésica, iniciando seu efeito dentro de 15 a 30 minutos e é bem tolerado pelos pacientes.
Dermacyd;Quando não devo usar Dermacyd?;Dermacyd está contraindicado para pacientes com alergia a algum dos componentes da formula.
Tensulan;Quais são os processos biológicos desencadeados por Tensulan?;Tensulan contém na sua fórmula as a as vitaminas A, B6 e E que atuar em conjunto no organismo, repondo os défices de vitaminas e minerais, ajudando na recuperação da energia.
Dermotivin Salix;Quais são as orientações específicas para utilizar Dermotivin Salix?;Estes produtos podem ser usados diariamente, de manhã e à noite.
Ofev;Quais são os potenciais efeitos indesejados de Ofev?;A administração de Ofev pode causar alguns efeitos colaterais bastante graves, nomeadamente: problemas no fígado, ataques de coração, enfartes, problemas de sangramento, perfurações do estômago ou da parede intestinal. Geralmente, os efeitos colaterais mais comuns e menos adversos de Ofev incluem: diarreia, dores no estômago, vômitos, redução do apetite, dores de cabeça e perda de peso.
Lacrifilm;Como funciona Lacrifilm?;Lacrifilm é um produto com composição muito semelhante à composição das lágrimas naturais e o seu princípio ativo, a Carmelose Sódica, tem a propriedade de se combinar com a lágrima natural, proporcionando assim um alivio imediato do ardor, irritação e secura dos olhos.
Naprosyn;Quais são os riscos para a saúde relacionados ao uso de Naprosyn?;Informe o seu médico caso tenha reações desagradáveis tais como: dor ou queimação no estômago, dor abdominal, vômitos, diarreia, falta de ar, broncoespasmo ou crise de asma, alergia na pele ou coceira, inchaço, dor de cabeça, tonturas, sonolência, bem como quaisquer outros sinais ou sintomas.
Neolefrin Baby;Quais são as contraindicações para Neolefrin Baby?;Neolefrin Baby gotas é contraindicado a crianças alérgicas ao Paracetamol ou a algum componente da fórmula e em bebês com menos de 6 meses, principalmente recém nascidos e prematuros. Durante o tratamento com Neolefrin Baby gotas é contraindicada a utilização simultânea de outros medicamentos contendo Paracetamol.
Citarabina;Quais os males que Citarabina pode me causar?;O principal efeito tóxico causado pela citarabina injetável é a supressão da medula óssea, com consequente redução de células de defesa no sangue e de coagulação do sangue e anemia.
Imiquimode;Quais são os riscos para a saúde relacionados ao uso de Imiquimode?;As reações adversas podem variar, dependendo da condição da pele e de seu tipo.
Persantin;Existem situações em que o uso de Persantin não é recomendado?;Este remédio não deve ser usado por pessoas alérgicas aos componentes da fórmula.
Suavicid;Quais são os riscos para a saúde relacionados ao uso de Suavicid?;Alguns dos efeitos colaterais que podem ocorrer durante o tratamento com Suavicid são vermelhidão leve a moderada, descamação, ardência grave ou inchaço da pele, ressecamento ou coceira, irritação grave ou continuada da pele, bolhas, formação de crostas, irritação dos olhos, nariz e boca, manchas escuras na pele, sensação de picada, aumento da sensibilidade da pele, erupções, acne, vermelhidão da pele, vesículas, linhas vermelhas finas ou vasos sanguíneos visíveis através da pele.
Daraprim;Quando não devo usar Daraprim?;Daraprim está contraindicado para pacientes com anemia megaloblástica secundária por deficiência de folato e para pacientes com alergia à Pirimetamina ou a outros componentes da fórmula.
Decitabina;Qual é o propósito principal de Decitabina na área da saúde?;Decitabina é indicado para tratar um tipo de câncer chamado leucemia mieloide aguda, em adultos com mais de 65 anos de idade.
Biotônico;Em que situações médicas é recomendado o uso de Biotônico?;Biotônico Fontoura é indicado para aumentar o apetite, diminuir o cansaço e a falta de energia, especialmente em casos de anemias e má alimentação, em adultos e crianças.
Pentasa 500;Há alguma condição específica em que o uso de Pentasa 500 é desaconselhado?;O Pentasa não deve ser utilizado em pessoas com hipersensibilidade aos salicilatos ou a qualquer outro componente da formulação.
Mercilon conti;Quais são os possíveis efeitos colaterais associados a Mercilon conti?;Os efeitos colaterais mais comuns que podem ocorrer com o uso do anticoncepcional Mercilon conti são náusea, dor abdominal, aumento de peso corporal, dor de cabeça, humor deprimido e alterações do humor, dor ou sensibilidade mamária.
Zyrtec;Quais são os possíveis efeitos colaterais associados a Zyrtec?;Os efeitos colaterais são ocasionais, de leve intensidade e transitórias, incluindo sonolência, dor de cabeça, tontura, agitação, boca seca e desconforto gastrintestinal.
Cebrilin;De que maneira Cebrilin deve ser administrado?;Os comprimidos de Cebrilin devem ser ingeridos inteiros, sem mastigar, preferencialmente pela manhã, com ou sem alimento, conforme orientação do seu médico.
Infralax;Qual é a posologia recomendada para Infralax?;Como regra geral, a dose mínima diária recomendada é de um comprimido a cada 12 horas.
Fentizol creme dermatológico;Em que situações médicas é recomendado o uso de Fentizol creme dermatológico?;Fentizol creme dermatológico ou spray é indicado para o tratamento de micoses na pele e mucosas, como candidíase, dermatomicoses e Pitiríase versicolor, em adultos e crianças.
Lactaid;Existem reações adversas conhecidas de Lactaid?;Alguns dos efeitos colaterais de Lactaid podem incluir reações alérgicas graves com urticária, coceira, dificuldade em respirar, sensação de aperto no peito, inchaço na boca, face, lábios ou língua.
Binelli;Quais são os possíveis efeitos colaterais associados a Binelli?;Raramente são observadas nas doses recomendadas. Em caso de doses altas ou de sensibilidade aumentada a dropropizina, as reações mais freqüentes consistem em hipotensão (queda da pressão arterial) e sonolência.
Koide D;Quais os males que Koide D pode me causar?;Alguns dos efeitos colaterais de Koide D podem incluir sonolência, urticária, vermelhidão na pele, dificuldade para respirar, aumento da sensibilidade à luz, transpiração excessiva, calafrios e secura da boca, nariz e garganta.
Sotahexal;Em que situações médicas é recomendado o uso de Sotahexal?;"SotaHEXAL é indicado no tratamento de: Arritmias: taquiarritmia ventricular grave; taquiarritmia ventricular não-sustentadasintomática e contrações ventriculares prematuras sintomáticas; tratamento profilático da taquicardia atrial paroxística, fibrilação atrialparoxística, taquicardia paroxística do nó atrioventricular reentrante, taquicardia paroxística reentrante por vias acessórias e taquicardiasupraventricular paroxística após cirurgia cardíaca; manutenção do ritmo sinusal normal após a conversão da fibrilação ou flutter atrial;controle do índice ventricular em pacientes com fibrilação atrial crônica ou flutter atrial; arritmias causadas por excesso de catecolaminascirculantes e aquelas devidas ao aumento da sensibilidade às catecolaminas. Angina pectoris: SotaHEXAL reduz a incidência eseveridade dos ataques de angina e aumenta a tolerância ao exercício. Pode ser usado em todos os casos de angina pectoris incluindocasos severos e intratáveis. Pós-infarto do miocárdio: SotaHEXAL quando administrado dentro de 5 a 14 dias do infarto agudo domiocárdio, produz uma significativa redução no índice de reinfarto e uma tendência de mortalidade mais baixa durante o primeiro anoapós o infarto"
Siludrox;Quais são as instruções para o uso correto de Siludrox?;Siludrox suspensão
Coumadin;Quais são as contraindicações para Coumadin?;Coumadin na gravidez e lactação: você não deve utilizar este medicamento se estiver grávida, exceto se você possuir válvula cardíaca mecânica com alto risco de trombose.
Hidromed;Quais são as contraindicações para Hidromed?;Hidroclorotiazida é contra-indicada para os pacientes com anúria e aqueles que apresentem hipersensibilidade à hidroclorotiazida ou outros fármacos derivados da sulfonamida.
Loprox;O que Loprox pretende tratar?;Este medicamento é destinado ao tratamento de infecções fúngicas das unhas.
Angeliq;Quais os males que Angeliq pode me causar?;Durante os primeiros meses de tratamento, pode ocorrer dor nas mamas e sangramento vaginal em períodos inesperados, que normalmente desaparecem com a continuação do tratamento.
Zytiga 250 mg;Qual é a posologia recomendada para Zytiga 250 mg?;A dose recomendada de Zytiga é de 1000 mg, o que equivale a 4 comprimidos, em uma única toma diária, fora das refeições.
Descon;Para que serve Descon?;Descon é indicado para a terapia sintomática da gripe.
Lasix 40 mg;Qual é o mecanismo de ação de Lasix 40 mg?;O Lasix contém furosemida na sua composição, que apresenta um efeito diurético, o que significa que promove a excreção de urina e efeito anti-hipertensivo, auxiliando no tratamento da pressão alta.
Diurix;Quais são as instruções para o uso correto de Diurix?;Os comprimidos devem ser tomados com líquido, por via oral, da seguinte forma:
Feldene SL;Quais são os potenciais efeitos indesejados de Feldene SL?;Os efeitos colaterais que podem ocorrer com o uso deste remédio são desconforto ou dor abdominal, indigestão, vômitos, enjoo, diarreia, prisão de ventre, excesso de gases no estômago ou intestino, estomatite, gastrite, úlcera no estômago, dor, ardor e coceira no reto ou ânus, sangramento retal, sangramento gastrintestinal e pancreatite.
Remeron;Quais são os riscos para a saúde relacionados ao uso de Remeron?;As reações adversas podem ser semelhantes aos sintomas de depressão.
Gino;Quais são os processos biológicos desencadeados por Gino?;O clotrimazol age contra fungos por meio da inibição da síntese do ergosterol. A inibição da síntese de ergosterol provoca dano estrutural e funcional da membrana citoplasmática.
Coumadin;Quais são os processos biológicos desencadeados por Coumadin?;Coumadin é um anticoagulante que age na inibição dos fatores de coagulação dependentes da vitamina K.
Gaballon;Qual é o propósito principal de Gaballon na área da saúde?;Este medicamento é indicado no tratamento de cansaço físico, mental e anorexia.
Manitol;Qual é a finalidade do medicamento Manitol?;Manitol 20% é indicado para a eliminação de líquidos e prevenção da falência dos rins durante cirurgias cardiovasculares ou após trauma. Pode ser usado no tratamento de edema cerebral, redução da pressão elevada nos olhos, ataque de glaucoma, redução da pressão dentro do crânio e eliminação de substâncias tóxicas pela urina.
Remsima;Quais são os processos biológicos desencadeados por Remsima?;Remsima é um medicamento que tem na sua composição infliximab, um tipo de proteína humana capaz de bloquear a ação de uma proteína específica, fator de necrose tumoral alfa - TNFα, uma proteína que está envolvida nos processos inflamatórios do corpo. Assim, ao bloquear a ação desta proteína, Remsima é capaz de ajudar a tratar doenças inflamatórias, reduzindo a inflamação no corpo, o que conduz a uma redução dos sinais e sintomas da doença e a uma melhoria da função física.
Arnica Weleda;Como Arnica Weleda atua no organismo para produzir seus efeitos?;A Arnica Weleda age em primeira linha através do estímulo das forças auto curativas do organismo e age como estimulante e harmonizador dos processos metabólicos e formativos para regeneração do organismo após lesões de órgãos ou tecidos, particularmente após insultos mecânicos e isquêmicos.
Atensina comprimidos;Para que serve Atensina comprimidos?;Atensina é indicada para o controle da pressão alta, em adultos.
Dimezin;Qual é a posologia recomendada para Dimezin?;Você deve engolir o comprimido com um pouco de água.Aspecto físico: Comprimido circular de cor branca.Características Organolépticas: Os comprimidos de Dimezin , não apresentam características organolépticas marcantes que permitam suadiferenciação em relação a outros comprimidos.Posologia: Tomar 1 comprimido 3 vezes ao dia, às refeições.  Essa  dose  poderá  ser  aumentada  à critério médico.SIGA CORRETAMENTE O MODO DE USAR. NÃO DESAPARECENDO  OS  SINTOMAS,  PROCURE ORIENTAÇÃO MÉDICA OU DE SEU CIRURGIÃO- DENTISTA.
